p_bar, v_init, Result
0.0, 0, 21.041315459499696
0.0, 1, 24.262727552829844
0.0, 2, 29.935413463108596
0.0, 3, 36.42383883684811
0.0, 4, 42.3448773661765
0.0, 5, 46.138449683456074
0.0, 6, 49.78274607538906
0.0, 7, 55.10612112827791
0.0, 8, 60.37230849429727
0.0, 9, 64.9388445903119
0.0, 10, 67.24612469030176
0.1, 0, 19.16757075864885
0.1, 1, 22.137361949572107
0.1, 2, 27.378929987325446
0.1, 3, 33.360056511258215
0.1, 4, 38.82544421459865
0.1, 5, 42.35727075352853
0.1, 6, 45.75337152565401
0.1, 7, 50.675365086216615
0.1, 8, 55.54633730473559
0.1, 9, 59.7821801083299
0.1, 10, 61.92193165480788
0.2, 0, 17.59714423361086
0.2, 1, 20.350503362115212
0.2, 2, 25.223218333831234
0.2, 3, 30.76853967369592
0.2, 4, 35.84154732097589
0.2, 5, 39.143178621695725
0.2, 6, 42.32028903014367
0.2, 7, 46.89482139506745
0.2, 8, 51.42495510479526
0.2, 9, 55.374965440827914
0.2, 10, 57.36999068762441
0.30000000000000004, 0, 16.262687866070586
0.30000000000000004, 1, 18.82770930076886
0.30000000000000004, 2, 23.3817234451033
0.30000000000000004, 3, 28.54859474499229
0.30000000000000004, 4, 33.28065894956152
0.30000000000000004, 5, 36.3787740859651
0.30000000000000004, 6, 39.361754685677724
0.30000000000000004, 7, 43.632858141535884
0.30000000000000004, 8, 47.86622903403544
0.30000000000000004, 9, 51.56668168603758
0.30000000000000004, 10, 53.43541828172398
0.4, 0, 15.115179824985272
0.4, 1, 17.514561181899726
0.4, 2, 21.790930109469457
0.4, 3, 26.625885033400937
0.4, 4, 31.05936930158276
0.4, 5, 33.97655053768675
0.4, 6, 36.78663064357869
0.4, 7, 40.790646602302985
0.4, 8, 44.76344901418002
0.4, 9, 48.24407383457659
0.4, 10, 50.00164382840195
0.5, 0, 14.117683395618842
0.5, 1, 16.369912515569624
0.5, 2, 20.40278485730413
0.5, 3, 24.94389022172988
0.5, 4, 29.114175105288712
0.5, 5, 31.86957465757969
0.5, 6, 34.525052650204515
0.5, 7, 38.292244117188105
0.5, 8, 42.034567397604775
0.5, 9, 45.32000012275543
0.5, 10, 46.97896133285404
0.6000000000000001, 0, 13.239669597791933
0.6000000000000001, 1, 15.359817909063329
0.6000000000000001, 2, 19.178033485714984
0.6000000000000001, 3, 23.456510035186795
0.6000000000000001, 4, 27.393653971850277
0.6000000000000001, 5, 30.003627849059903
0.6000000000000001, 6, 32.52070385419863
0.6000000000000001, 7, 36.07642427705617
0.6000000000000001, 8, 39.61359388465243
0.6000000000000001, 9, 42.72435622364611
0.6000000000000001, 10, 44.29523246191279
0.7000000000000001, 0, 12.448374546770896
0.7000000000000001, 1, 14.4484997985539
0.7000000000000001, 2, 18.076668866703592
0.7000000000000001, 3, 22.117834838436803
0.7000000000000001, 4, 25.848029229142067
0.7000000000000001, 5, 28.327002633485208
0.7000000000000001, 6, 30.721152607999837
0.7000000000000001, 7, 34.086661688918916
0.7000000000000001, 8, 37.440274337992435
0.7000000000000001, 9, 40.39324038621257
0.7000000000000001, 10, 41.88483828442128
0.8, 0, 11.691321310155631
0.8, 1, 13.580326312447404
0.8, 2, 17.039246231031864
0.8, 3, 20.862621775411036
0.8, 4, 24.409689255575053
0.8, 5, 26.77187460388652
0.8, 6, 29.06064636875575
0.8, 7, 32.253633961777275
0.8, 8, 35.44232738297085
0.8, 9, 38.25039595509251
0.8, 10, 39.66981733205302
0.9, 0, 10.860505588101345
0.9, 1, 12.643065626927562
0.9, 2, 15.949007315192535
0.9, 3, 19.567103485461068
0.9, 4, 22.95435531263466
0.9, 5, 25.21755024999542
0.9, 6, 27.426435586101842
0.9, 7, 30.461303632078796
0.9, 8, 33.50117158519089
0.9, 9, 36.171499677133475
0.9, 10, 37.523603710166064
1.0, 0, 9.723825027733742
1.0, 1, 11.397649633369888
1.0, 2, 14.559560649938495
1.0, 3, 17.97441744385508
1.0, 4, 21.227292556990065
1.0, 5, 23.42092406500234
1.0, 6, 25.595130685806033
1.0, 7, 28.48308755180192
1.0, 8, 31.387448575867968
1.0, 9, 33.91705786240535
1.0, 10, 35.2028909621006
